Delta,Theta,Alpha,Beta,Gamma,Emotion
731998.5375450682,577117.9726394018,217903.10401621572,383615.53991048696,274669.56540237257,Happy
380202.9374855281,315546.61949673825,157300.01220048047,202739.34441033963,169852.2217913836,Happy
675855.8989100233,244911.86972630603,149380.79015172736,146660.4244333357,128866.02393132666,Happy
158687.56195232508,159364.35752222934,105191.80772799953,133152.8476,110432.45548603838,Happy
10529401.218180953,515281.2424691912,544273.8686195579,153231.52860822147,115372.35091306498,Happy
189958857.60914668,12213513.02,6085913.737365251,1715034.4632498035,382116.3011348308,Happy
2768622.5702606845,929934.2709333939,1288514.4029594504,941514.8062533046,166869.14378923253,Relaxed
1360035.3666882138,735139.0920512856,2082679.2689532517,413791.7775305473,127565.24995394955,Relaxed
1667542925.8035388,3399638840,8241536716.559217,2429469888.266036,335043164.73402673,Relaxed
1606337172.3117478,3347599875.1193585,6756961088.617079,2802515808.8862557,347162993.9400877,Relaxed
1510540146.2467287,3418320232.914453,7511696007.367986,2685128584.5288396,319509526.6200236,Relaxed
1600491086.0796487,2595522098.5061445,5986210659.813264,3006943088.9855013,354662041.9470026,Relaxed
1709961667.4627333,3691799381.4762464,7473697489.454761,2344388636.052662,336677719.9410278,Relaxed
1689112983.9710376,3826972461.4067297,6485332237.781456,2635162355.946963,348245076.48441565,Relaxed
1870919252.5802479,4020678830.694806,6856841311.061545,2463419548.0993547,329934383.5533671,Relaxed
1720639147.1693668,2357396837.703924,7467355208,2854054127.580744,342362848.6718915,Relaxed
1606792768.5262828,2565768518.7284036,6445171602.458199,2863639797.8656964,346240642.0557511,Relaxed
1296153.492783086,680365.3449677435,1538387.0282549176,558555.3252,138313.20410805146,Relaxed
1170926816.0868287,2187513047.622678,9951414294,2089830158.5660841,354270115.0065078,Relaxed
4253227.854353367,951962.3282854183,1216954.7482327104,513919.2473104173,109495.97389988897,Relaxed
4735767.486010849,1270244.3004142267,2533150.606910275,471290.8439,120640.91540937734,Relaxed
2802383.7270980924,526646.9357182302,1857194.4821275293,409034.3793909496,129928.34007223864,Relaxed
10538833.987999087,1185317.1440966697,2306581.411767535,464396.0643510444,131852.00100549657,Relaxed
6586459.460509789,2344256.425713279,1785835.2315405859,369448.1655,134460.6603918501,Relaxed
3282672.8738712682,523450.4378794376,2128440.2146238955,316441.2716928146,122023.11170086553,Relaxed
1415849.498167673,824488.3348598713,2773328.3521372946,535113.4667548621,147902.87446313573,Relaxed
16257882.826729273,529588.3791,184011.63452376134,147037.70942240529,49707.63857266549,Relaxed
782386.3832212858,101592.45460726632,31366.23923093254,99588.95712860976,22169.844213285036,Relaxed
294647.0616158186,32923.40851335033,17029.35422642651,82943.68934403504,19593.687973844375,Relaxed
452867.0634,46097.897425785144,16629.55583178241,53634.922531681106,15868.01906029259,Relaxed
946458.6562407423,66699.90014471505,28128.985728972297,71839.11919848152,24291.934109971062,Relaxed
2305004.5838694116,93294.77890473913,29369.826653217213,55338.38066551358,15265.339522409571,Relaxed
